日期,中獎號碼,特別號
2019/01/08,"04, 19, 21, 28, 39, 43",18
2019/01/04,"06, 07, 08, 20, 47, 48",30
2019/01/01,"18, 23, 24, 25, 39, 42",48
2018/12/28,"07, 11, 19, 23, 35, 44",33
2018/12/25,"07, 26, 27, 28, 30, 32",44
2018/12/21,"05, 19, 21, 34, 41, 49",42
2018/12/18,"05, 08, 11, 15, 33, 37",03
2018/12/14,"06, 09, 14, 19, 38, 49",20
2018/12/11,"07, 12, 15, 21, 27, 47",48
2018/12/07,"11, 20, 29, 33, 34, 36",18
2018/12/04,"03, 06, 12, 16, 17, 20",14
2018/11/30,"05, 14, 20, 27, 29, 45",07
2018/11/27,"27, 33, 36, 41, 43, 44",31
2018/11/23,"07, 20, 21, 34, 37, 43",05
2018/11/20,"04, 31, 34, 36, 40, 44",20
2018/11/16,"07, 11, 23, 30, 38, 49",45
2018/11/13,"07, 21, 35, 36, 42, 43",10
2018/11/09,"04, 12, 14, 15, 22, 48",28
2018/11/06,"02, 05, 26, 29, 38, 39",07
2018/11/02,"05, 16, 18, 32, 41, 47",02
2018/10/30,"03, 09, 28, 32, 39, 47",07
2018/10/26,"08, 10, 23, 33, 41, 46",48
2018/10/23,"06, 09, 13, 20, 42, 43",21
2018/10/19,"07, 18, 20, 32, 42, 49",24
2018/10/16,"01, 24, 39, 40, 46, 49",33
2018/10/12,"04, 06, 07, 12, 20, 21",29
2018/10/09,"08, 13, 16, 23, 35, 41",21
2018/10/05,"03, 09, 10, 42, 44, 47",05
2018/10/02,"02, 08, 16, 33, 42, 47",14
2018/09/28,"01, 02, 07, 20, 27, 37",19
2018/09/25,"19, 25, 27, 39, 40, 46",06
2018/09/21,"03, 05, 10, 11, 29, 45",25
2018/09/18,"11, 23, 34, 36, 41, 45",43
2018/09/14,"19, 29, 36, 37, 45, 46",18
2018/09/11,"14, 16, 18, 23, 25, 44",41
2018/09/07,"02, 08, 14, 21, 37, 44",49
2018/09/04,"04, 06, 10, 15, 42, 49",12
2018/08/31,"12, 15, 34, 37, 43, 46",38
2018/08/28,"08, 10, 11, 39, 42, 44",27
2018/08/24,"03, 07, 09, 31, 39, 45",35
2018/08/21,"08, 12, 17, 28, 31, 34",01
2018/08/17,"03, 14, 19, 21, 35, 48",13
2018/08/14,"15, 16, 17, 25, 34, 49",05
2018/08/10,"05, 07, 16, 18, 36, 48",37
2018/08/07,"12, 13, 19, 25, 30, 46",05
2018/08/03,"04, 06, 30, 35, 40, 43",13
2018/07/31,"15, 20, 22, 31, 35, 37",14
2018/07/27,"05, 12, 17, 19, 35, 48",09
2018/07/24,"24, 25, 29, 32, 42, 49",12
2018/07/20,"09, 12, 13, 24, 39, 45",38
2018/07/17,"11, 20, 26, 34, 41, 43",09
2018/07/13,"02, 14, 21, 31, 42, 46",04
2018/07/10,"09, 11, 21, 24, 39, 43",07
2018/07/06,"02, 03, 21, 28, 32, 47",27
2018/07/03,"09, 11, 20, 31, 34, 44",10
2018/06/29,"04, 13, 27, 30, 37, 41",20
2018/06/26,"05, 09, 11, 23, 37, 44",24
2018/06/22,"06, 07, 11, 25, 26, 30",31
2018/06/19,"08, 09, 28, 34, 37, 42",15
2018/06/15,"16, 25, 28, 30, 44, 46",27
2018/06/12,"02, 03, 14, 15, 35, 37",29
2018/06/08,"02, 09, 17, 31, 32, 40",47
2018/06/05,"02, 17, 22, 25, 26, 41",16
2018/06/01,"16, 26, 28, 33, 42, 49",20
2018/05/29,"11, 14, 20, 26, 37, 41",02
2018/05/25,"01, 06, 22, 24, 32, 42",16
2018/05/22,"02, 13, 24, 29, 41, 49",45
2018/05/18,"01, 11, 36, 38, 41, 42",48
2018/05/15,"02, 12, 13, 16, 32, 43",24
2018/05/11,"04, 11, 25, 35, 37, 48",36
2018/05/08,"03, 08, 21, 22, 37, 41",46
2018/05/04,"10, 22, 30, 33, 36, 47",43
2018/05/01,"08, 29, 33, 34, 46, 49",19
2018/04/27,"04, 25, 26, 27, 30, 48",11
2018/04/24,"09, 10, 19, 21, 35, 36",49
2018/04/20,"10, 14, 32, 33, 35, 46",43
2018/04/17,"07, 16, 31, 38, 40, 41",39
2018/04/13,"01, 12, 25, 28, 40, 46",39
2018/04/10,"07, 27, 32, 34, 41, 47",09
2018/04/06,"07, 25, 31, 34, 47, 49",26
2018/04/03,"01, 07, 22, 32, 34, 36",08
2018/03/30,"01, 05, 13, 43, 44, 47",25
2018/03/27,"13, 15, 24, 30, 38, 40",44
2018/03/23,"04, 09, 13, 32, 34, 41",42
2018/03/20,"08, 09, 23, 30, 37, 41",31
2018/03/16,"03, 14, 16, 17, 43, 46",04
2018/03/13,"14, 20, 22, 27, 28, 38",19
2018/03/09,"12, 15, 18, 27, 30, 38",19
2018/03/06,"09, 11, 13, 17, 38, 42",29
2018/03/02,"01, 12, 17, 25, 31, 48",21
2018/02/27,"01, 03, 18, 23, 28, 44",10
2018/02/23,"03, 07, 15, 16, 18, 41",42
2018/02/20,"12, 33, 34, 38, 40, 46",07
2018/02/19,"07, 09, 19, 22, 36, 49",29
2018/02/18,"07, 08, 20, 28, 34, 46",10
2018/02/17,"03, 05, 17, 32, 33, 47",36
2018/02/16,"04, 07, 23, 24, 27, 41",17
2018/02/15,"07, 21, 22, 37, 41, 48",15
2018/02/13,"04, 10, 19, 26, 35, 45",38
2018/02/09,"12, 17, 20, 21, 30, 45",09
2018/02/06,"06, 10, 24, 27, 41, 43",49
2018/02/02,"01, 02, 10, 11, 26, 43",40
2018/01/30,"07, 08, 15, 23, 31, 36",30
2018/01/26,"07, 23, 32, 34, 43, 47",24
2018/01/23,"02, 12, 26, 28, 33, 34",44
2018/01/19,"02, 13, 16, 22, 26, 48",39
2018/01/16,"08, 26, 29, 32, 36, 39",23
2018/01/12,"01, 07, 14, 22, 40, 45",29
2018/01/09,"02, 10, 22, 23, 24, 37",42
2018/01/05,"04, 13, 17, 29, 31, 44",14
2018/01/02,"02, 06, 12, 18, 36, 46",47
2017/12/29,"11, 12, 15, 20, 27, 47",36
2017/12/26,"07, 08, 10, 20, 24, 27",19
2017/12/22,"12, 18, 20, 21, 31, 37",24
2017/12/19,"03, 14, 18, 31, 41, 42",02
2017/12/15,"17, 19, 24, 27, 31, 37",08
2017/12/12,"16, 19, 28, 37, 38, 41",10
2017/12/08,"01, 05, 08, 10, 34, 35",46
2017/12/05,"01, 12, 13, 37, 41, 43",49
2017/12/01,"02, 03, 05, 28, 42, 48",09
2017/11/28,"09, 14, 17, 19, 46, 47",29
2017/11/24,"04, 08, 10, 14, 41, 45",38
2017/11/21,"04, 23, 25, 28, 39, 43",41
2017/11/17,"02, 14, 19, 28, 39, 46",45
2017/11/14,"05, 15, 24, 25, 44, 47",45
2017/11/10,"10, 15, 24, 26, 29, 35",12
2017/11/07,"05, 06, 12, 22, 30, 48",41
2017/11/03,"08, 20, 23, 33, 36, 43",02
2017/10/31,"04, 25, 31, 36, 39, 46",02
2017/10/27,"02, 11, 17, 22, 38, 40",41
2017/10/24,"02, 03, 05, 14, 16, 29",32
2017/10/20,"03, 08, 18, 19, 26, 42",17
2017/10/17,"01, 03, 06, 11, 19, 27",05
2017/10/13,"05, 08, 23, 34, 44, 46",16
2017/10/10,"06, 28, 29, 30, 31, 39",33
2017/10/06,"04, 28, 32, 37, 41, 45",47
2017/10/03,"15, 18, 25, 30, 33, 44",38
2017/09/29,"03, 14, 16, 21, 33, 36",20
2017/09/26,"10, 11, 14, 19, 22, 38",42
2017/09/22,"18, 35, 39, 43, 47, 49",44
2017/09/19,"02, 12, 15, 18, 37, 40",39
2017/09/15,"03, 08, 11, 16, 33, 37",35
2017/09/12,"07, 23, 29, 36, 45, 49",14
2017/09/08,"08, 13, 15, 19, 29, 42",25
2017/09/05,"13, 17, 23, 27, 33, 41",02
2017/09/01,"05, 11, 14, 16, 36, 40",46
2017/08/29,"05, 18, 25, 31, 48, 49",44
2017/08/25,"01, 04, 19, 24, 28, 31",49
2017/08/22,"04, 10, 13, 36, 44, 45",05
2017/08/18,"07, 10, 12, 35, 38, 47",23
2017/08/15,"13, 16, 27, 28, 33, 42",11
2017/08/11,"02, 08, 09, 18, 27, 37",33
2017/08/08,"06, 09, 23, 27, 34, 46",20
2017/08/04,"15, 16, 26, 27, 39, 45",37
2017/08/01,"02, 12, 21, 30, 42, 47",31
2017/07/28,"11, 13, 18, 22, 38, 39",03
2017/07/25,"02, 11, 23, 30, 33, 42",07
2017/07/21,"02, 12, 24, 32, 42, 47",29
2017/07/18,"13, 14, 21, 29, 42, 48",11
2017/07/14,"16, 18, 19, 25, 26, 32",22
2017/07/11,"06, 16, 19, 23, 33, 39",07
2017/07/07,"18, 30, 40, 42, 44, 49",08
2017/07/04,"04, 21, 27, 28, 30, 35",42
2017/06/30,"08, 12, 22, 30, 32, 36",06
2017/06/27,"11, 33, 34, 46, 47, 49",38
2017/06/23,"02, 08, 12, 34, 41, 42",07
2017/06/20,"01, 12, 29, 30, 33, 44",19
2017/06/16,"01, 15, 21, 26, 36, 45",10
2017/06/13,"02, 04, 17, 22, 36, 43",40
2017/06/09,"24, 26, 31, 32, 37, 46",01
2017/06/06,"14, 16, 25, 32, 36, 48",12
2017/06/02,"03, 07, 08, 23, 30, 31",32
2017/05/30,"07, 14, 19, 30, 31, 39",40
2017/05/26,"08, 14, 16, 19, 21, 35",20
2017/05/23,"02, 10, 15, 22, 26, 32",42
2017/05/19,"15, 16, 21, 23, 28, 46",14
2017/05/16,"05, 06, 07, 14, 29, 46",24
2017/05/12,"02, 09, 18, 22, 25, 35",14
2017/05/09,"16, 17, 20, 21, 32, 40",15
2017/05/05,"01, 09, 18, 19, 34, 49",11
2017/05/02,"14, 23, 24, 27, 36, 39",13
2017/04/28,"01, 03, 19, 31, 32, 42",43
2017/04/25,"16, 17, 30, 32, 35, 41",26
2017/04/21,"05, 15, 22, 23, 28, 39",25
2017/04/18,"14, 21, 25, 35, 36, 39",18
2017/04/14,"02, 03, 04, 23, 29, 42",14
2017/04/11,"09, 22, 31, 36, 40, 47",08
2017/04/07,"19, 23, 31, 32, 37, 49",26
2017/04/04,"05, 17, 33, 34, 43, 44",04
2017/03/31,"17, 18, 22, 24, 25, 38",39
2017/03/28,"21, 22, 32, 37, 42, 44",38
2017/03/24,"24, 36, 39, 41, 45, 49",22
2017/03/21,"08, 16, 27, 32, 43, 44",07
2017/03/17,"04, 17, 25, 36, 40, 44",08
2017/03/14,"15, 17, 20, 32, 33, 39",21
2017/03/10,"11, 12, 21, 35, 41, 48",01
2017/03/07,"06, 12, 22, 31, 41, 44",02
2017/03/03,"02, 16, 20, 37, 43, 48",10
2017/02/28,"06, 14, 15, 19, 30, 43",31
2017/02/24,"12, 16, 35, 38, 41, 47",01
2017/02/21,"08, 10, 15, 32, 39, 48",43
2017/02/17,"06, 16, 21, 23, 46, 49",39
2017/02/14,"10, 11, 21, 23, 28, 37",24
2017/02/10,"07, 11, 12, 15, 24, 26",06
2017/02/07,"06, 18, 19, 23, 32, 49",21
2017/02/03,"02, 11, 25, 29, 30, 33",20
2017/02/01,"04, 09, 11, 32, 43, 47",44
2017/01/31,"04, 11, 16, 28, 33, 46",17
2017/01/30,"10, 19, 26, 29, 43, 45",20
2017/01/29,"03, 08, 09, 12, 14, 22",46
2017/01/28,"01, 19, 20, 25, 30, 32",02
2017/01/27,"01, 05, 07, 31, 35, 49",42
2017/01/24,"01, 09, 17, 31, 33, 48",49
2017/01/20,"01, 05, 16, 18, 31, 41",13
2017/01/17,"04, 12, 17, 28, 34, 40",07
2017/01/13,"14, 19, 21, 25, 27, 38",22
2017/01/10,"04, 13, 14, 37, 39, 46",31
2017/01/06,"12, 14, 32, 35, 40, 43",17
2017/01/03,"18, 22, 41, 42, 47, 49",45
2016/12/30,"06, 07, 35, 37, 38, 47",12
2016/12/27,"10, 25, 26, 29, 31, 40",02
2016/12/23,"08, 23, 28, 38, 41, 42",30
2016/12/20,"01, 29, 35, 36, 44, 46",06
2016/12/16,"11, 19, 25, 34, 36, 42",08
2016/12/13,"19, 29, 33, 36, 39, 49",06
2016/12/09,"12, 28, 38, 42, 44, 49",02
2016/12/06,"27, 30, 32, 41, 44, 46",42
2016/12/02,"05, 25, 26, 34, 40, 49",47
2016/11/29,"03, 21, 26, 28, 38, 40",42
2016/11/25,"01, 03, 22, 28, 37, 42",10
2016/11/22,"01, 21, 24, 25, 34, 44",19
2016/11/18,"06, 18, 24, 25, 26, 34",19
2016/11/15,"07, 08, 25, 33, 41, 43",06
2016/11/11,"02, 07, 08, 22, 28, 32",20
2016/11/08,"03, 06, 11, 17, 22, 49",44
2016/11/04,"02, 03, 17, 28, 38, 49",21
2016/11/01,"10, 11, 15, 20, 31, 49",44
2016/10/28,"01, 10, 13, 33, 37, 38",40
2016/10/25,"05, 15, 25, 27, 33, 34",43
2016/10/21,"02, 08, 21, 32, 33, 37",15
2016/10/18,"14, 15, 16, 24, 44, 47",21
2016/10/14,"10, 23, 29, 30, 44, 47",07
2016/10/11,"02, 08, 13, 14, 37, 39",38
2016/10/07,"10, 16, 30, 33, 37, 42",43
2016/10/04,"11, 23, 30, 35, 40, 44",07
2016/09/30,"04, 10, 31, 38, 40, 48",05
2016/09/27,"14, 15, 16, 35, 46, 48",02
2016/09/23,"01, 02, 29, 31, 33, 43",40
2016/09/20,"04, 07, 17, 22, 44, 45",32
2016/09/16,"17, 23, 30, 31, 34, 49",36
2016/09/13,"03, 16, 22, 33, 40, 41",39
2016/09/09,"01, 12, 35, 36, 41, 44",21
2016/09/06,"04, 07, 20, 23, 28, 45",35
2016/09/02,"09, 11, 20, 21, 45, 46",42
2016/08/30,"01, 11, 18, 27, 36, 46",26
2016/08/26,"09, 28, 34, 41, 42, 49",06
2016/08/23,"25, 26, 37, 38, 44, 48",31
2016/08/19,"05, 19, 26, 44, 46, 48",36
2016/08/16,"05, 14, 15, 20, 27, 29",35
2016/08/12,"08, 20, 33, 35, 42, 43",10
2016/08/09,"15, 17, 30, 35, 37, 45",41
2016/08/05,"01, 02, 22, 27, 35, 40",33
2016/08/02,"04, 15, 20, 22, 28, 29",01
2016/07/29,"09, 15, 27, 28, 30, 41",13
2016/07/26,"09, 15, 19, 22, 35, 41",37
2016/07/22,"02, 10, 17, 27, 33, 49",15
2016/07/19,"07, 13, 33, 40, 45, 46",39
2016/07/15,"24, 25, 29, 33, 35, 38",49
2016/07/12,"25, 31, 34, 42, 43, 46",05
2016/07/08,"09, 10, 13, 19, 23, 35",38
2016/07/05,"06, 09, 15, 17, 40, 47",24
2016/07/01,"08, 20, 24, 34, 41, 43",32
2016/06/28,"07, 08, 25, 39, 45, 46",38
2016/06/24,"14, 17, 27, 28, 39, 41",18
2016/06/21,"02, 27, 34, 35, 36, 49",26
2016/06/17,"07, 10, 17, 20, 21, 31",49
2016/06/14,"12, 13, 16, 33, 35, 37",18
2016/06/10,"04, 13, 15, 22, 23, 48",03
2016/06/07,"05, 08, 23, 31, 39, 44",19
2016/06/03,"03, 10, 27, 33, 41, 44",07
2016/05/31,"01, 02, 05, 32, 45, 46",43
2016/05/27,"02, 09, 13, 16, 24, 39",41
2016/05/24,"06, 08, 13, 21, 33, 39",45
2016/05/20,"05, 10, 25, 30, 40, 43",26
2016/05/17,"02, 03, 20, 23, 34, 42",40
2016/05/13,"03, 10, 22, 31, 35, 38",37
2016/05/10,"03, 04, 08, 22, 36, 38",07
2016/05/06,"01, 26, 37, 39, 42, 48",41
2016/05/03,"01, 07, 17, 40, 41, 43",33
2016/04/29,"08, 14, 27, 31, 36, 40",03
2016/04/26,"06, 12, 21, 25, 34, 43",28
2016/04/22,"12, 19, 23, 33, 46, 48",29
2016/04/19,"12, 21, 39, 41, 46, 47",14
2016/04/15,"09, 13, 17, 28, 45, 47",03
2016/04/12,"11, 14, 19, 39, 45, 49",23
2016/04/08,"02, 07, 13, 30, 36, 45",43
2016/04/05,"14, 23, 26, 32, 38, 43",03
2016/04/01,"08, 12, 16, 29, 37, 39",40
2016/03/29,"01, 17, 18, 34, 46, 47",25
2016/03/25,"07, 11, 22, 37, 40, 41",20
2016/03/22,"07, 11, 16, 20, 30, 33",06
2016/03/18,"01, 03, 04, 18, 25, 47",13
2016/03/15,"06, 14, 30, 42, 47, 48",18
2016/03/11,"09, 16, 30, 34, 36, 49",31
2016/03/08,"03, 27, 30, 35, 39, 41",32
2016/03/04,"05, 07, 12, 17, 22, 29",04
2016/03/01,"07, 14, 17, 22, 23, 34",12
2016/02/26,"03, 09, 17, 21, 41, 46",27
2016/02/23,"10, 14, 19, 20, 43, 45",22
2016/02/19,"11, 20, 23, 30, 39, 44",49
2016/02/16,"11, 23, 29, 33, 34, 40",06
2016/02/14,"01, 03, 16, 20, 21, 26",22
2016/02/13,"04, 06, 18, 29, 35, 48",20
2016/02/12,"06, 10, 11, 22, 32, 45",04
2016/02/11,"03, 13, 29, 30, 34, 48",28
2016/02/10,"18, 19, 22, 32, 44, 47",09
2016/02/09,"09, 24, 25, 31, 37, 45",12
2016/02/08,"08, 12, 13, 16, 27, 32",24
2016/02/07,"04, 11, 21, 25, 35, 37",43
2016/02/05,"04, 05, 26, 30, 38, 41",28
2016/02/02,"15, 21, 23, 26, 43, 48",34
2016/01/29,"16, 35, 38, 44, 45, 48",27
2016/01/26,"11, 13, 17, 35, 39, 46",02
2016/01/22,"10, 15, 17, 20, 43, 46",37
2016/01/19,"04, 09, 14, 23, 44, 46",41
2016/01/15,"06, 11, 16, 17, 27, 42",35
2016/01/12,"05, 15, 18, 39, 40, 44",37
2016/01/08,"03, 10, 13, 28, 44, 48",01
2016/01/05,"01, 03, 07, 15, 25, 33",21
2016/01/01,"16, 19, 24, 29, 41, 43",32
2015/12/29,"01, 08, 13, 30, 32, 42",11
2015/12/25,"03, 07, 11, 12, 16, 30",13
2015/12/22,"08, 12, 13, 29, 37, 49",43
2015/12/18,"05, 06, 11, 15, 18, 25",31
2015/12/15,"04, 11, 18, 22, 23, 31",19
2015/12/11,"01, 04, 25, 29, 42, 43",11
2015/12/08,"08, 15, 32, 36, 40, 43",03
2015/12/04,"16, 21, 34, 37, 41, 47",29
2015/12/01,"06, 13, 15, 19, 37, 41",22
2015/11/27,"04, 05, 23, 25, 40, 41",11
2015/11/24,"01, 09, 13, 28, 29, 48",45
2015/11/20,"04, 09, 10, 39, 40, 42",08
2015/11/17,"02, 07, 26, 31, 44, 47",36
2015/11/13,"01, 11, 16, 18, 31, 33",19
2015/11/10,"07, 10, 11, 27, 28, 45",21
2015/11/06,"08, 24, 27, 30, 45, 49",42
2015/11/03,"08, 16, 22, 28, 45, 48",13
2015/10/30,"03, 06, 08, 15, 20, 30",40
2015/10/27,"07, 08, 10, 17, 34, 36",43
2015/10/23,"01, 16, 41, 43, 46, 47",25
2015/10/20,"12, 17, 32, 37, 38, 39",27
2015/10/16,"20, 25, 29, 31, 40, 44",21
2015/10/13,"24, 29, 31, 32, 44, 49",39
2015/10/09,"02, 08, 22, 27, 35, 43",24
2015/10/06,"03, 08, 10, 28, 38, 47",13
2015/10/02,"11, 15, 36, 41, 44, 45",35
2015/09/29,"01, 03, 25, 31, 35, 44",15
2015/09/25,"09, 13, 21, 25, 38, 39",02
2015/09/22,"06, 10, 39, 44, 46, 47",30
2015/09/18,"06, 16, 17, 36, 37, 41",28
2015/09/15,"02, 13, 30, 31, 34, 44",39
2015/09/11,"05, 10, 18, 29, 41, 44",30
2015/09/08,"08, 28, 31, 32, 36, 43",09
2015/09/04,"19, 20, 44, 46, 47, 49",09
2015/09/01,"09, 18, 19, 20, 40, 48",03
2015/08/28,"08, 11, 12, 15, 40, 46",16
2015/08/25,"13, 15, 22, 26, 45, 47",49
2015/08/21,"10, 15, 20, 21, 27, 36",45
2015/08/18,"08, 20, 29, 30, 42, 49",21
2015/08/14,"05, 13, 14, 23, 24, 42",35
2015/08/11,"01, 02, 35, 43, 45, 46",14
2015/08/07,"25, 26, 27, 28, 36, 37",38
2015/08/04,"03, 12, 17, 19, 38, 48",43
2015/07/31,"13, 16, 18, 30, 32, 40",29
2015/07/28,"06, 15, 27, 32, 44, 49",16
2015/07/24,"10, 12, 25, 33, 39, 42",29
2015/07/21,"08, 09, 16, 39, 40, 44",28
2015/07/17,"04, 07, 20, 27, 33, 40",38
2015/07/14,"10, 12, 14, 19, 30, 45",41
2015/07/10,"05, 06, 13, 26, 29, 47",33
2015/07/07,"01, 14, 27, 33, 42, 46",41
2015/07/03,"21, 23, 28, 29, 41, 46",24
2015/06/30,"18, 19, 32, 35, 46, 48",47
2015/06/26,"05, 06, 12, 28, 29, 41",07
2015/06/23,"02, 13, 33, 35, 43, 45",05
2015/06/19,"03, 05, 11, 18, 25, 38",15
2015/06/16,"03, 04, 25, 35, 41, 45",07
2015/06/12,"08, 19, 22, 24, 26, 28",18
2015/06/09,"03, 20, 27, 34, 37, 44",12
2015/06/05,"08, 21, 32, 35, 41, 48",34
2015/06/02,"01, 07, 19, 20, 46, 47",13
2015/05/29,"02, 05, 11, 28, 32, 34",24
2015/05/26,"02, 10, 11, 20, 26, 45",30
2015/05/22,"03, 21, 23, 28, 37, 43",05
2015/05/19,"15, 16, 29, 39, 42, 46",14
2015/05/15,"03, 06, 18, 27, 29, 32",40
2015/05/12,"01, 13, 23, 29, 31, 33",17
2015/05/08,"02, 10, 15, 28, 44, 49",39
2015/05/05,"08, 28, 41, 42, 44, 49",30
2015/05/01,"08, 15, 25, 29, 47, 49",09
2015/04/28,"03, 05, 12, 26, 36, 44",23
2015/04/24,"13, 25, 31, 35, 41, 46",49
2015/04/21,"01, 03, 11, 22, 29, 33",30
2015/04/17,"26, 32, 33, 36, 45, 47",39
2015/04/14,"01, 22, 23, 38, 48, 49",11
2015/04/10,"10, 11, 17, 20, 42, 44",13
2015/04/07,"11, 17, 19, 33, 45, 47",04
2015/04/03,"13, 32, 36, 40, 42, 43",41
2015/03/31,"02, 04, 13, 25, 32, 43",15
2015/03/27,"12, 13, 15, 18, 24, 36",39
2015/03/24,"03, 04, 06, 09, 17, 24",28
2015/03/20,"04, 07, 09, 13, 29, 46",08
2015/03/17,"05, 32, 36, 40, 42, 49",01
2015/03/13,"06, 09, 14, 16, 22, 33",11
2015/03/10,"03, 11, 25, 34, 46, 47",42
2015/03/06,"06, 21, 22, 35, 37, 44",29
2015/03/03,"04, 06, 11, 41, 43, 46",21
2015/02/27,"02, 06, 27, 34, 38, 43",45
2015/02/24,"03, 28, 39, 41, 46, 48",09
2015/02/23,"14, 20, 21, 32, 38, 43",23
2015/02/22,"03, 06, 12, 34, 37, 43",28
2015/02/21,"02, 05, 11, 17, 27, 40",20
2015/02/20,"05, 09, 10, 28, 29, 45",41
2015/02/19,"07, 25, 27, 31, 40, 49",11
2015/02/18,"03, 06, 15, 16, 27, 31",14
2015/02/17,"03, 11, 15, 23, 40, 46",13
2015/02/13,"01, 09, 15, 25, 29, 35",38
2015/02/10,"14, 15, 26, 29, 35, 44",09
2015/02/06,"05, 11, 29, 36, 42, 46",48
2015/02/03,"05, 13, 15, 16, 18, 30",08
2015/01/30,"03, 14, 24, 35, 39, 44",28
2015/01/27,"04, 09, 15, 21, 27, 45",06
2015/01/23,"08, 16, 20, 38, 39, 42",29
2015/01/20,"09, 24, 28, 35, 45, 47",48
2015/01/16,"02, 17, 28, 32, 38, 46",49
2015/01/13,"02, 14, 16, 22, 37, 46",49
2015/01/09,"07, 08, 18, 21, 23, 24",11
2015/01/06,"11, 16, 29, 30, 37, 43",13
2015/01/02,"13, 22, 23, 29, 31, 48",06
2014/12/30,"07, 30, 32, 44, 48, 49",45
2014/12/26,"09, 27, 32, 42, 45, 49",30
2014/12/23,"03, 27, 30, 31, 32, 39",35
2014/12/19,"01, 09, 24, 32, 41, 49",40
2014/12/16,"17, 28, 32, 34, 35, 45",08
2014/12/12,"07, 08, 24, 29, 32, 48",37
2014/12/09,"07, 09, 23, 33, 41, 43",24
2014/12/05,"11, 18, 30, 34, 37, 47",17
2014/12/02,"09, 11, 13, 23, 26, 42",47
2014/11/28,"01, 10, 21, 35, 40, 44",36
2014/11/25,"01, 15, 16, 32, 44, 48",40
2014/11/21,"02, 03, 22, 26, 32, 34",40
2014/11/18,"11, 12, 20, 26, 28, 43",06
2014/11/14,"15, 16, 29, 34, 41, 44",49
2014/11/11,"05, 11, 18, 23, 36, 43",14
2014/11/07,"11, 19, 25, 27, 40, 49",33
2014/11/04,"03, 20, 30, 35, 38, 41",47
2014/10/31,"02, 08, 10, 14, 27, 49",20
2014/10/28,"05, 16, 25, 32, 37, 44",21
2014/10/24,"01, 17, 20, 36, 37, 45",15
2014/10/21,"14, 28, 31, 38, 42, 44",45
2014/10/17,"02, 11, 20, 32, 33, 36",39
2014/10/14,"09, 10, 14, 20, 36, 47",08
2014/10/10,"01, 11, 19, 24, 26, 28",33
2014/10/07,"17, 18, 40, 41, 45, 47",29
2014/10/03,"10, 14, 19, 24, 35, 37",39
2014/09/30,"18, 35, 36, 41, 47, 49",15
2014/09/26,"08, 15, 19, 22, 29, 37",39
2014/09/23,"02, 11, 20, 28, 32, 38",16
2014/09/19,"02, 06, 17, 29, 32, 39",04
2014/09/16,"07, 12, 16, 18, 19, 41",45
2014/09/12,"02, 23, 27, 31, 36, 49",15
2014/09/09,"21, 23, 29, 41, 42, 49",14
2014/09/05,"10, 16, 25, 27, 32, 36",45
2014/09/02,"07, 08, 36, 39, 42, 43",22
2014/08/29,"09, 10, 21, 23, 38, 39",35
2014/08/26,"01, 17, 19, 23, 32, 43",09
2014/08/22,"08, 16, 23, 30, 31, 43",18
2014/08/19,"06, 07, 09, 12, 14, 19",17
2014/08/15,"18, 23, 29, 46, 47, 48",05
